Date,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
9/1/2002,154762.7693,270190.8518,133781.4043,189494.4438,223193.6215,118056.8679,134295.4155,275507.0233,154945.6132,200792.4778,221851.2915,154033.6405,220381.3714,178547.6455,235922.7662,184672.2864,180888.7735,144427.9624,,167912.8091,117496.3813,185908.8365,113753.0564,124409.0652,140103.5578,138153.3054,118896.2593,169860.5018,134907.6742,183238.4694,169337.1607,140196.3261,108505.262,136703.1482,95438.51997,95506.50904,104170.3231,81729.23727,133209.1852,,205314.6797,94102.98482,114529.8406,99597.16845,175171.4946,142749.8741,91223.38411,112529.7395,112309.7919,101748.1173,116816.857
10/1/2002,156180.4498,273944.4918,134962.7739,191164.3874,226637.148,118463.668,134738.7345,279371.4014,155659.7763,201468.3662,222397.3832,155464.454,223372.9478,179444.9355,238680.3575,186977.2611,180531.0929,144899.3362,,169107.7404,117598.1779,187956.3821,114593.8286,124707.742,140362.991,138875.1181,119170.4058,170428.8171,135300.9554,187011.6347,169826.0469,141355.6445,108767.739,137451.3871,95813.76534,95904.80649,104316.4996,82107.03128,133533.3652,,207508.8962,94382.4434,115179.1312,99628.20599,176343.3622,143269.8208,91508.5369,112867.2665,112672.2463,102088.653,117181.0267
11/1/2002,157515.2071,277622.0469,136085.0602,192787.0611,229816.2422,118809.9098,135163.8546,283432.7902,156305.2363,202103.9243,222911.7562,156457.014,226967.7596,180536.5568,241187.6057,189187.1636,180283.0924,145328.4259,,170333.1778,118000.3983,189830.9508,115317.0793,125027.5097,140600.8702,139641.6833,119439.8065,171097.0787,135661.2797,190250.8912,170392.4772,142566.0175,109045.1912,138147.1624,96202.39943,96272.11667,104538.0759,82362.33723,133808.2587,,209984.2235,94656.56991,115851.4844,100142.9262,177502.3306,143722.0498,91786.03908,113087.9646,113019.5822,102470.978,117558.4107
12/1/2002,158754.1953,281248.4796,137300.9406,194467.3432,232786.5066,119104.9191,135594.3143,287309.9238,157018.5701,202585.2632,223192.9886,157315.4863,230718.3764,181768.2783,243181.3153,191387.6381,180044.446,145690.1968,,171662.6042,118493.4906,191723.1836,116005.1164,125356.579,140844.9693,140477.026,119703.7222,171765.6841,135979.648,192892.3953,170997.4514,143803.3284,109327.9481,138821.8511,96569.94969,96570.99719,104814.747,82552.05627,133976.9654,,212407.6132,94897.55131,116464.5535,100706.155,178767.3551,143947.152,92046.85493,113208.1129,113394.9611,102897.405,117932.9013
1/1/2003,159842.4758,284452.8441,138499.575,196108.5839,235630.0349,119331.1255,135998.6827,290442.4825,157685.4788,203127.5816,223286.2886,157995.9867,234107.3514,182983.5819,245276.8157,193489.7766,179875.0892,145997.1568,,172999.9571,118991.0423,193493.6056,116664.1867,125679.5951,141081.7546,141316.1706,119899.1535,172406.2089,136303.9418,195343.8771,171400.1682,145143.1191,109573.6585,139380.2031,96823.71125,96724.60031,104905.6184,82656.68799,134105.2449,,214433.2456,95112.80635,116994.1589,101300.0442,180093.6231,144288.1261,92280.16591,113666.9963,113801.1385,103266.0376,118275.5168
2/1/2003,160940.3613,287440.3124,139731.3413,197705.326,238387.1709,119480.4261,136351.0507,293320.4407,158393.6906,203665.4866,223338.4105,158845.9111,237025.3386,184185.9242,247802.8654,195605.8053,179830.505,146278.9129,,174223.8879,119426.0576,195293.0135,117327.1255,126030.9498,141298.1748,142203.0655,120122.2889,172985.3338,136552.3148,197943.1423,171663.6061,146416.7896,109850.8025,139904.408,97091.90697,96856.80677,104918.0392,82937.69115,134299.2202,,215974.3288,95341.07679,117518.1598,101602.6675,181523.6884,144677.9976,92515.45905,114501.2745,114212.0184,103576.2718,118589.4537
3/1/2003,162106.3461,290604.8031,140994.4667,199409.3033,241068.3925,119649.189,136564.8016,296184.6954,159045.0859,204497.4618,223624.0042,159656.1796,239713.7892,185501.7607,250867.7671,197770.9991,179774.7174,146586.13,,175337.4919,119754.9496,197093.9354,117960.7743,126371.214,141499.9276,143096.397,120333.4973,173606.6136,136744.672,200746.7245,171833.2845,147567.4103,110134.8613,140487.1914,97357.96153,97048.09178,104877.9891,83299.82231,134391.0155,,217636.1072,95581.4829,118028.229,101597.0101,183029.4314,144981.8226,92770.99033,115064.1896,114679.5221,103809.7702,118873.9613
4/1/2003,163464.8522,294283.0826,142401.7722,201088.2111,243727.7117,119847.1494,136762.7371,299290.5453,159768.9353,205421.8303,223971.9024,160554.972,242739.4269,186869.3018,254004.8149,199775.4518,179905.841,146894.0014,,176392.9907,119877.3435,199060.5299,118630.6989,126642.505,141670.1691,143940.6312,120586.5251,174295.6466,136878.7105,203688.4376,172237.3136,148514.8883,110485.635,141114.4999,97686.90879,97321.14764,104917.569,83700.38871,134743.9245,,219521.9562,95836.45762,118544.6329,101257.4278,184610.8223,145351.2345,93073.89789,115326.1909,115090.0778,104044.8544,119168.9339
5/1/2003,164961.0754,298368.0591,143888.2682,202806.3218,246501.1527,120071.7426,137107.1267,302403.6804,160516.5949,206582.2292,224234.5654,161395.1218,245976.5546,188460.3991,257343.2404,201919.4628,180069.6252,147199.419,,177588.4855,119902.9058,201240.4875,119450.7167,126917.2022,141869.4805,144827.6075,120861.8768,175095.1002,137077.6926,206875.5539,173027.094,149769.4137,110797.8278,141899.5689,98085.31449,97598.32708,105081.1929,84093.53966,135184.153,,221821.1227,96099.37149,119119.3427,101042.5215,186259.9926,146102.9689,93355.37315,115148.8737,115608.5827,104298.1007,119484.6745
6/1/2003,166549.0305,302146.5355,145363.2092,204510.2334,249491.5388,120298.0782,137592.752,305233.2505,161343.2452,207746.425,224364.3382,162219.9662,249336.9815,190060.6758,260843.9325,203978.3722,180393.7395,147489.0436,,178761.1923,119991.6777,203738.015,120441.1546,127236.3523,142069.7602,145771.4519,121174.2132,175994.7071,137457.5064,210344.922,174158.4054,151181.2154,111080.6517,142776.6814,98513.00365,97836.50502,105376.1049,84495.51504,135751.1092,,224205.1577,96364.16199,119770.6133,101100.9773,187846.7914,147172.3687,93606.72,115233.6535,116045.3417,104602.022,119862.6752
